City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Cabo Rojo,PR,81.97,overcast clouds,18.0866,-67.1457,Hotel Perichi's
440,Cuyo,PH,82.62,overcast clouds,10.8525,121.0086,FRANCIA INN
444,Niquero,CU,81.39,scattered clouds,20.0431,-77.5828,Islazul Niquero
446,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
453,Maraa,BR,75.11,moderate rain,-1.8333,-65.3667,
456,Lorengau,PG,82.29,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
460,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
464,Pokaran,IN,79.66,scattered clouds,26.9167,71.9167,Motel Pokaran - RTDC
469,Kirakira,SB,81.45,overcast clouds,-10.4544,161.9205,SanBiz Lodge
475,Namatanai,PG,82.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
476,Sarangani,PH,81.63,heavy intensity rain,5.4033,125.4636,Ballistic Islet
479,Honiara,SB,80.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
489,Bowen,AU,79.21,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
490,San Patricio,US,84.29,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
501,Sao Joao Da Barra,BR,77.81,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
508,Adre,TD,83.25,clear sky,13.4667,22.2,
521,Diamantino,BR,75.09,few clouds,-14.4086,-56.4461,Hotel Delta
522,Sulangan,PH,80.83,broken clouds,11.1373,123.7228,Maia's Beach Resort
528,Porto Nacional,BR,84.2,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
529,Catia La Mar,VE,78.24,overcast clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
530,Veraval,IN,78.15,clear sky,20.9,70.3667,Lords Inn Somnath
531,Guanica,PR,80.06,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
533,Polewali,ID,76.8,overcast clouds,-3.4324,119.3435,Lilianto Hotel
